Query_ID,1,2,3,4
AILA_Q1,"""I was fired from my bank job because I was accused of mishandling money in an employee housing society where I was a secretary. I was later found not guilty in court, but the bank still won't give me my job back. Do I have any legal rights to get my position back?""","""Can a company refuse to rehire someone after they've been cleared of criminal charges that got them fired in the first place?""",,
AILA_Q2,"""I'm a government minister who had to resign after a judge made negative comments about my testimony in a bribery case. Even though I was just a witness, the judge questioned my credibility. Can I challenge these remarks that damaged my reputation?""","""If a judge makes damaging comments about your character when you're just a witness in a court case, what can you do about it? These comments forced me to resign from my position.""",,
AILA_Q3,"""I'm being prosecuted for selling contaminated food products in my store. The lab report shows illegal additives, but I think there might be a mistake. Can I challenge this in court?""","""My brother's store was accused of selling adulterated food products. He was initially found not guilty but then got sentenced on appeal. Is this legal?""",,
AILA_Q4,"""My wife filed domestic violence charges against me and my family in India, claiming we demanded more dowry money after marriage and harassed her. The court dismissed charges against my family but not against me. Can I get the case against me dismissed too?""","""What can someone do if they're accused of dowry harassment in India? My family was cleared of charges but I'm still being prosecuted.""",,
AILA_Q5,"""My family was attacked while working on our shared farmland when our neighbors claimed we didn't have the right to harvest there. One of my sons was seriously injured and needed brain surgery. The attackers were convicted but are now appealing. What kind of legal rights do we have in this situation?""","""If someone attacks you on disputed farmland and seriously injures your family member, what kind of criminal charges and punishment can they face?""",,
AILA_Q6,"""What happens if someone gets shot while trying to arrest a criminal? My cousin is a police officer and was injured attempting to make an arrest - do police families have any special legal rights in these situations?""","""If a police officer dies while trying to arrest someone, what kind of legal case is it? My brother was a cop who was killed in the line of duty and I want to understand the legal process.""",,
AILA_Q7,"""My dad was a government accountant who was convicted of stealing around 4,000 rupees and falsifying records. He got a one-year jail sentence but the court reduced his fine. Can he appeal this?""","""What happens if a government employee is caught stealing money and changing official records to cover it up? What kind of punishment do they usually get?""",,
AILA_Q8,"""My sister-in-law died by suicide after being harassed for dowry by her husband and mother-in-law. They were convicted but are now appealing. What typically happens in dowry-related death cases like this?""","""If someone's wife commits suicide after being harassed for money and gifts from her family, can the husband and in-laws be held responsible for her death?""",,
AILA_Q9,"""My brother killed my son during a family fight over farmland, but the court let him and his accomplices go free because of problems with the police investigation. Can I appeal this decision?""","""If a murder case gets dismissed because the police messed up the investigation, what options does the victim's family have to appeal?""",,
AILA_Q10,"""If five people are charged with the same crime, why was only one person's appeal accepted while the others were rejected? Is this fair?""","""My friends and I were all convicted of the same crime, but when we appealed, the court only agreed to hear one person's case and rejected the rest of us. Can they do that?""",,
AILA_Q11,"""I'm a French airline employee who was detained at the airport for not declaring watch parts in my luggage. They're keeping me in custody saying I might smuggle again. Can they hold me just based on one incident, especially since I'm having mental health issues from being detained?""","""My friend was caught bringing undeclared watches through customs. They're holding him in detention even though it's his first offense and he's becoming mentally unwell. Is this legal?""",,
AILA_Q12,"""Can someone be detained by the police just because they think they might cause public disorder in the future? My brother was arrested because of a previous incident, even though he was already out on bail for it.""","""My relative was arrested and held in jail because the police said he might be a threat to public safety - is this legal, even though he was already out on bail for the original case?""",,
AILA_Q13,"""I was fired from my job as a police officer because they found out about my old theft conviction. They claimed it was a routine termination, but later admitted the real reason in writing. Can they fire me this way, and do I have any right to get my job back?""","""Can the police department fire someone by claiming it's a regular termination, but actually doing it because of an old criminal record?""",,
AILA_Q14,"""My father was murdered, and I got revenge by killing his murderer. I was convicted but then the high court acquitted me. Now the prosecution is appealing that decision - what usually happens in cases like this?""","""If someone takes revenge by killing their father's murderer, can they claim it was justified? My friend is facing charges for a similar situation.""",,
AILA_Q15,"""My mother witnessed my father's murder and was injured trying to save him. She testified in court, but the attackers were found not guilty. Now a higher court reversed that decision - is this common in murder cases?""","""If someone sees their spouse get murdered and testifies in court, why would a judge ignore their testimony?""",,
AILA_Q16,"""What happens if someone kills their stepmother and stepsister during a family property dispute? My relative was sentenced to death but it got changed to life in prison - can they appeal this?""","""My brother killed our stepmother and stepsister during a fight about family property. He got life in prison instead of the death penalty - what are his chances of appealing this sentence?""",,
AILA_Q17,"""I was arrested for customs fraud last year and spent some time in jail, but I was released on bail. Now, 7 months later, they're suddenly trying to detain me again even though I haven't done anything wrong since then. Is this legal?""","""Can the authorities detain someone for an old customs violation if they've been following the law since getting out on bail?""",,
AILA_Q18,"""My family's business partnership broke up and we had arbitrators divide up the assets. Some family members are saying the arbitrators' decision isn't valid because it wasn't officially registered. Does this kind of agreement really need to be registered to be legal?""","""If a family business partnership splits up and arbitrators help divide everything, do we need to get their decision officially registered somewhere for it to be valid?""",,
AILA_Q19,"""My father was acquitted of murder by the trial court because the witnesses had conflicting stories, but then the high court overturned it and sentenced him to life in prison. How can they convict him when the original court found the evidence wasn't reliable?""","""How can a higher court overturn a 'not guilty' verdict when the original trial found the witnesses weren't trustworthy?""",,
AILA_Q20,"""Someone broke into my parents' house at night and attacked both my mom and dad with a knife. My dad died but my mom survived. The attacker was caught and convicted, but now he's appealing his sentence. Is this normal?""","""My neighbor was convicted of breaking into a house and killing someone, plus attempting to kill their spouse. He got life in prison but is trying to appeal. What does this mean for the victims' family?""","""If someone is convicted of murder and attempted murder based mainly on witness testimony from family members, can they successfully appeal their conviction?""","""If someone is found guilty of murder based on witness statements from the victim's family, how likely is it their appeal will succeed?"""
AILA_Q21,"""I've been working as a temporary daily worker for over 10 years, and I want to become a permanent employee. The company offered me a different permanent position but I declined because it wasn't the role I've been doing. Now they've terminated me - what are my rights?""","""Can a company fire someone who's been working as a temp for 10+ years after they refuse to accept a permanent position in a different role?""",,
AILA_Q22,"""My sister committed suicide and her husband claims it was due to stress over her kids' health, but we believe it was because of dowry harassment from him and his mother. They kept demanding money from our family and mistreated her. What legal options do we have?""","""If someone's wife commits suicide and there's evidence of dowry harassment, what kind of legal consequences can the husband and in-laws face?""",,
AILA_Q23,"""Our construction company got initial approval to build apartments back in 1984, but we had delays getting the bank guarantee they required. They cancelled our permit, but the Governor later said we could get it back if we paid interest. Now the new government won't honor that agreement. Can we still get our building permit back?""","""If a developer gets preliminary approval for a construction project but misses some deadlines, can they still revive the permit years later if they're willing to meet all the original conditions plus interest?""",,
AILA_Q24,"""My cousins and I jointly own some farmland with a shared water well. They started removing the pipes from the well without discussing it with anyone, and when we tried to stop them, they attacked us and someone got killed. What legal rights do we have in this situation?""","""There's a well on some land I co-own with my relatives. They tried to remove the pipes without permission and got violent when we asked them to stop. Can they legally do this?""",,
AILA_Q25,"""The government took our farmland for some project and only offered us Rs 1.55 per square meter, but similar land nearby got Rs 10 per square meter. Can we challenge this and get fair compensation?""","""My family's agricultural land was acquired by the government, but they're paying us much less than what our neighbors got for their land. What are our rights?""",,
AILA_Q26,"""I let someone stay in my house while they were helping me with construction, but now they won't leave or give it back to me. They claim they have rights to the property because of some agreements we signed. What can I do?""","""My neighbor helped me build my house and loaned me money, but now they've taken over the property and won't leave. Can they legally do this?""",,
AILA_Q27,"""My friend was arrested for export fraud - he's accused of lying about the value and type of steel he was exporting to get higher government incentives. He's out of custody now but there's still a case against him. What kind of legal trouble could he be facing?""","""I run an export business and I'm being investigated for misrepresenting my products to get better export benefits. What should I do?""",,
AILA_Q28,"""My brother was killed in a fight over farmland, and the people who did it were convicted. They're now appealing their conviction. How likely is it that their appeal will succeed if there were eyewitnesses to the crime?""","""If someone was convicted of murder based on eyewitness testimony that wasn't collected until a week after the incident, can they successfully appeal their conviction?""",,
AILA_Q29,"""My cousin was accused of poisoning his wife and was found not guilty, but then a higher court reversed the decision and convicted him. How can a person be found guilty after being declared innocent?""","""If someone is found not guilty of a crime but then a higher court changes the verdict to guilty, is that legal? Can they appeal?""",,
AILA_Q30,"""My sister was killed by her in-laws who burned her alive, and they were found guilty in the initial trial. But now they've been acquitted by the High Court. Can we appeal this decision or get justice some other way?""","""If someone is murdered and the killers are convicted but then later acquitted by a higher court, what options does the victim's family have?""",,
AILA_Q31,"""My family bought some land, but we found out another group of people claim they bought the same property from the same owner. They're trying to build shops on it now. Who legally owns the land in this kind of situation?""","""There's a dispute over who owns a piece of land - one group bought it with a power of attorney, and another group bought it directly from the owner. How do courts decide who the real owner is?""",,
AILA_Q32,"""My cousin was beaten up and killed over a water dispute during a family wedding. The attackers were sentenced to life in prison, but they're now appealing. What usually happens in these kinds of appeals cases?""","""If someone is convicted of murder over a village water dispute and gets life in prison, what are their chances of winning an appeal?""",,
AILA_Q33,"""I'm a police officer who was found with a large amount of money at home. They say it's more than I could have earned from my salary, but they couldn't prove I stole anything from evidence storage. Can they still punish me just for having the money?""","""My cousin is a cop and they found unexplained money in his house. They couldn't prove he stole anything from work, but they're still treating him like he's guilty. Is that legal?""",,
AILA_Q34,"""Is it legal for government officials to interfere with ongoing corruption investigations? My state's former Chief Minister is being investigated for corruption, but it seems like people in power are trying to slow down or stop the investigation by replacing prosecutors and judges.""","""What can citizens do if they suspect high-ranking politicians are manipulating the legal system to avoid corruption charges? There's clear evidence but the case keeps getting delayed.""",,
AILA_Q35,"""If a fight starts over a petty dispute and someone dies, can the person claim it wasn't planned murder since it began as a small argument? My cousin got into a fight that started over borrowed items and things escalated badly.""","""My brother got into a street fight that started over a silly neighborhood dispute, and someone died. He says he didn't mean to kill anyone - does it matter legally that this wasn't planned and started as a small argument?""",,
AILA_Q36,"""Can the government limit how much they reimburse for medical expenses if I had to get treatment at a different hospital than the one they approved?""","""My son was a government employee who needed emergency kidney treatment, but the approved hospital couldn't take him. The state only wants to pay part of the bills from the other hospital - is this legal?""","""How much of my medical bills does the government have to cover if I'm a state employee and had to get emergency surgery at a non-approved hospital?""",
AILA_Q37,"""My father was attacked by two men in our village - one hit him with a stick and the other with some kind of farming tool. He later died from his injuries. The men were convicted but are now appealing, saying they're innocent because the only witnesses were family members. Is it true that family testimony isn't reliable in court?""","""If someone is convicted of a violent crime but the only witnesses were the victim's relatives, can they get their conviction overturned? My cousin's attackers are claiming the family testimony shouldn't count.""",,
AILA_Q38,"""I run a fertilizer business and government testing says our product is low quality, but we weren't allowed to provide our own test results to defend ourselves. Is it legal for them to only use their lab results against us?""","""My company is being accused of selling bad fertilizer based on government lab tests. Don't we have the right to challenge these test results with our own evidence?""",,
AILA_Q39,"""A foreign student was accused of murdering his classmate and stealing her belongings, but was later found not guilty by the High Court. Can the prosecution appeal this decision and try to convict him again?""","""My cousin was convicted of murder based on circumstantial evidence, but the High Court later acquitted him. Now the police want to challenge his acquittal - can they do that?""",,
AILA_Q40,"""I'm a government legal officer with no chance for promotion in my department. Can I force my employer to create higher positions or pay grades for my role?""","""What can I do if I'm stuck in a dead-end government job with no promotion path? My position is the only one of its kind in my department.""",,
AILA_Q41,"""My uncle was killed after confronting someone who was harassing female workers at his factory. The attacker was convicted, but now he's appealing his life sentence. Can murderers successfully appeal just because some witnesses were family members of the victim?""","""If someone is convicted of murder based partly on testimony from the victim's relatives, can they get their conviction overturned just because the witnesses were family members?""",,
AILA_Q42,"""My parents agreed to sell their property but the deal fell through. Now the buyer filed a police complaint saying we cheated them, and I'm being charged too even though I wasn't involved in the sale. Can I get these charges dropped?""","""Someone is pressing criminal charges against me because my parents didn't complete a property sale with them. I wasn't even part of the deal - what can I do?""",,
AILA_Q43,"""I'm a Navy wife who filed domestic abuse charges against my husband and several other Navy officers. Now I need to move my case to a different state court because I don't feel safe pursuing the case where my husband is stationed. Is this possible?""","""Can I transfer my domestic violence case to a different state? I filed charges against my husband (a Navy officer) but don't feel safe pursuing the case in his city since I have no family there to support me.""",,
AILA_Q44,"""I'm a government transport officer being investigated for having more assets than my salary could explain, but they wrongly included my family members' property in the calculation. What can I do to prove these assets don't belong to me?""","""My brother works for the government and is being accused of corruption because they counted our whole family's property as his. How can he prove these aren't his assets?""",,
AILA_Q45,"""My neighbor was killed in a fight over a property boundary dispute, but the people accused of the murder were found not guilty by the first court. Now a higher court says they're guilty after all. How can two courts reach completely opposite decisions in a murder case?""","""If someone is found not guilty of a crime but then a higher court reverses that decision and finds them guilty, is that legal? This happened in my village in a murder case.""",,
AILA_Q46,"""My father was robbed at gunpoint in our home, and during the robbery my sister was shot and killed. We identified some of the robbers, but one of them was found not guilty in court. Can that person still be held responsible for my sister's death even though they were acquitted?""","""If someone is part of a gang that commits a home invasion and someone dies during the robbery, but they're found not guilty, can they still be held responsible in any way?""",,
AILA_Q47,"""My brother killed our father in a fight over land and claims it was self-defense because he grabbed the weapon from our dad during the argument. What kind of legal consequences would he face?""","""If someone kills a family member during a property dispute but claims they only fought back after the victim attacked them first, can they still be charged with murder?""",,
AILA_Q48,"""Can government employees be prosecuted for fraud without getting special permission from their department first? Some officials at my local registry office are being investigated for taking bribes and faking property documents.""","""My friend works at the government registry office and is being investigated for fraud. Does the police need special permission before they can charge government employees with crimes?""",,
AILA_Q49,"""I was a government worker who got fired in 1987 for allegedly taking bribes. I was later found innocent in 2001, but I had already retired by then. Can I still get my pension and benefits?""","""If someone is fired from their government job for corruption but later proven innocent, are they entitled to their pension even if they've already reached retirement age?""",,
AILA_Q50,"""I'm a government minister who resigned after a judge made harsh comments about my testimony in a bribery case. Even though I was just a witness, the judge's remarks damaged my reputation. Can I appeal to have these comments removed from the court record?""","""If a judge makes damaging personal remarks about a witness in their court decision, can those remarks be challenged or removed from the official record?""",,